s.no,Tweet,version1_tags,version2_tags,suggested_tags
60,@ChrisShort @FunnelFiasco @mike_julian @alexellisuk @PreciselyAlyss @IAmJerdog @QuinnyPig @garethr I'm guessing he was joking 😉 I do understand the sentiment tho! The reading/sorting/filtering takes so much time every week. Being able to increase the filtering via Zapier has gone a long way for me.,"['sorting filtering', 'long', 'filtering', 'zapier']","['long', 'sorting', 'filtering', 'zapier']","['filtering', 'zapier','sorting', ‘time’,’ sentiment’]"
61,@ChrisShort @mike_julian @alexellisuk @PreciselyAlyss @IAmJerdog @QuinnyPig @garethr How do you find the content that is newsletter worthy? That's where my RSS feeds &gt; Zapier &gt; Pocket come into play.,"['rss feeds', 'newsletter', 'zapier', 'pocket']","['newsletter', 'rss', 'feeds', 'zapier', 'pocket']","['rss', 'feeds', 'zapier', 'pocket', 'find', 'newsletter']"
62,"Issue 69 of #DevRelWeekly is out! Articles from @krunchdata &amp; @DeveloperModeCo in addition to tweets from @bitandbang @jonobacon @iam_lizzyfierce and a #DevRelCon recap from @devrel_net among other things. Check it out &amp; subscribe here: https://t.co/xnykVU5yBa

#DevRel #CMgr","['https co', 'https t co', 'addition', 'tweets', 'subscribe']",[],"['https', 'tweets', 'DevRel', 'co', 'out', 'subscribe', 'addition']"
63,"@alexellisuk @ChrisShort @PreciselyAlyss @IAmJerdog @mike_julian @QuinnyPig @garethr One more piece that was hugely helpful for me (and that I'm now noticing is lacking in Evernote:

- If I _can't_ archive the articles in a separate list, I need to be able to sort by ""untagged"" articles to see which ones I still need to sift through for this week's issue.","['evernote', 'archive', 'sort', 'sift', 'list']","['evernote', 'archive', 'sort', 'sift', 'list']","['evernote', 'archive', 'sort', 'sift', ‘list’,’untagged']"
64,"@alexellisuk @ChrisShort @PreciselyAlyss @IAmJerdog @mike_julian @QuinnyPig @garethr I'm completely fine with paying for it! Freemium seems to be the way to go. I'd say my paying limit is probably $25/month, which is currently 5x what most of these platforms charge.","['go', 'month', 'limit']","['go', 'month', 'limit']","[‘Go’,'limit','Freemium']"
65,"@alexellisuk @ChrisShort @PreciselyAlyss @IAmJerdog @mike_julian @QuinnyPig @garethr must have:
- import via Zapien (pref) or IFTTT)
- ability to tag articles
- search (minimum title &amp; link) tho pref in-article
- bulk edit

nice:
- preview of article
- ability to archive articles
- multi-person login","['search minimum title', 'article bulk', 'import', 'ifttt', 'preview', 'archive', 'login']","['amp', 'article', 'ifttt', 'preview', 'minimum', 'title', 'bulk', 'archive', 'login', 'import', 'search']","['title', 'edit', 'search', 'login', 'article', 'minimum', 'import', 'link', 'archive', 'preview', 'ifttt', ‘bulk’,’ multi-person login']"
66,"@ChrisShort @PreciselyAlyss @IAmJerdog @mike_julian @QuinnyPig @garethr @alexellisuk It's not my favorite option but it looks like the only one that checks all the boxes right now  ¯\_(ツ)_/¯  I'm going to have to do some wrangling to import everything that I have in Pocket, but I think there's an IFTTT recipe that will work for that.","['favorite option', 'ifttt recipe', 'import', 'pocket', 'boxes']","['option', 'favorite', 'pocket', 'ifttt', 'recipe', 'boxes', 'import']","['option', 'pocket', 'recipe', 'import','favorite', ‘ifttt’,’boxes']"
67,"@ChrisShort @PreciselyAlyss @IAmJerdog @mike_julian @QuinnyPig @garethr @alexellisuk I honestly think I'm just going to move things over to Evernote for the time being. It can do Zapier integrations. I can share the notebook with others. I can view card snippets &amp; bulk edit. I can tag things &amp; search within items. It's available offline, and it syncs w/iOS.","['evernote', 'zapier', 'share', 'bulk', 'offline', 'ios', 'search']","['amp', 'evernote', 'zapier', 'share', 'bulk', 'offline', 'ios', 'search']","['move', 'evernote', 'zapier', 'share', 'edit', 'search','bulk', 'offline', 'view', 'ios', 'items', ‘time’,’sync’,’share’]"
68,@ChrisShort @PreciselyAlyss @IAmJerdog @mike_julian @pocketsupport @Pocket @QuinnyPig @garethr @alexellisuk happy to help however I can!,['happy'],"['pocket', 'happy']","['pocket', 'help']"
69,"@PreciselyAlyss @IAmJerdog @ChrisShort @mike_julian @pocketsupport @Pocket @QuinnyPig @garethr You can actually use Zapier to pull an RSS feed _from_ Raindrop, but I need to be able to import items from multiple RSS feeds _into_ Raindrop on a continual basis. There are lots of ppl asking for it, but it hasn't been implemented yet and no longer seems to be on the roadmap.","['ppl', 'rss feeds', 'zapier', 'import', 'basis', 'roadmap']","['ppl', 'pocket', 'rss', 'feed', 'feeds', 'basis', 'zapier', 'roadmap', 'import']","['rss', 'feed', 'feeds', 'zapier', 'ppl', 'pocket', 'basis', 'import', 'pull', 'roadmap', 'items']"
70,@raindrop_io Any thoughts or plans around these integrations? There are a bunch of Premium Pocket members who are now stranded because of their recent changes which broke our workflow. We're more than willing to pay... we just need the Zapier/IFTTT integrations.,"['zapier ifttt', 'bunch', 'pocket', 'workflow']","['bunch', 'pocket', 'workflow', 'zapier', 'ifttt']","['members', 'zapier', 'pocket', 'ifttt', 'workflow']"
71,"@IAmJerdog @PreciselyAlyss @ChrisShort @mike_julian @pocketsupport @Pocket @QuinnyPig @garethr I just found the reason why I (and likely others) can't use it -- there's no Zapier or IFTTT integration 😩 I'll keep digging... it's possible that among us we can figure out a way to build the integration ourselves using their API, but it's not a solution I can integrate today.","['ifttt integration', 'integration', 'integrate', 'build', 'no zapier']","['pocket', 'integrate', 'ifttt', 'integration', 'api', 'build', 'no zapier']","['figure', 'using', 'zapier', 'integrate', 'reason', 'pocket', 'integration','out', 'API', ‘build','solution']"
