s.no,comment,tags
28,"+1. Please push git tags for older releases to GitHub. Right now the only tag is 1.4 (which is odd because it's not even a [released version?]). 

I was trying to use git to view a diff between versions and the lack of tags in git made this more difficult. 
",['git']
29,"Ah, I see now that all versions are present in master. Still, I think tags would be helpful. It's always a good idea to tag releases in git. 
",['master']
30,"Great, thanks!
",
31,"Can do it this week also. @guilro I can review your PR or work with you on this on a pad.
",['pad']
32,"I created this pad : https://bimestriel.framapad.org/p/contributor_covenant_fr

For consistency, I took the french translation of 1.3, the English diff to 1.3 to 1.4, and tried to change the translation only where the English changed.

I have done this work until line 40, I will continue later in the week.
",['consistency']
33,"@guilro you should have to write to edit the translation on my fork. Feel free to make any feedbacks.
",['translation']
34,"""With regard to"" is difficult to understand too. Simpler language would be better.

Is ""will"" enough to express the ethical obligation? It is certainly good for expressing the will to maintain confidentiality of course. We're choosing to impose this duty on ourselves, we're not being forced to do so. As I understand it.

May I suggest the following rewrite, assuming it keeps the spirit of the original?

> The project team <del>is obligated to maintain confidentiality with regard to the reporter of an incident.</del>
> The project team <ins>will keep information about incident reporters confidential, as an ethical duty.</ins>

That knocks out the clumsier ""is obligated to"" ... ""with regard to"" lawyerese. It also makes clearer what is being talked about (your information, in our hands).

Some people think ""obligated"" is an ugly word, and that ""obliged"" has an identical meaning. Yet the meanings seem to be drifting: http://grammarist.com/usage/obliged-vs-obligated/

That said, I think ""duty"" serves, unless there is an actual legal requirement. And it sidesteps the argument.

Though I don't like the dangling ""as an ethical duty"", for what it's worth. Is there a better way of conveying that?

---

Asides:

Shouldn't the confidential treatment of data extend to the data which is gathered about identified parties, especially identified victims?

Perhaps the CoC should also state when confidential information might be shared (specified trusted third parties, on a strict need to know basis, for legal reasons only?). But that's getting ahead of ourselves.
",['shared']
35,"Thanks for your quick reply!

I agree with with what you say, however the wording of the CoC does not currently seem to reflect this, as I read: ""Examples of unacceptable behavior by participants include.... The use of sexualized language or imagery""

This reads as a explicit blanket ban on the use of sexual content, which I feel is a major problem and goes beyond the intended scope of the CoC (i.e. preventing harassment). 

It would be far better if the CoC made it clear that _appropriate_ use of sexual content is acceptable. I don't think the discretion of project maintainers is sufficient here (since they would have to go against the explicit wording of the CoC), and I also wouldn't want to encourage people to add exception / disclaimers / clarifying provisions (otherwise what is the point of encouraging a standardised CoC?)
",['scope']
36,"I appreciate you reaching out with these concerns, but I think that there is a clear difference between the contexts that you are pointing out and the intent of the language in the code of conduct. Contextually appropriate sexual content is not the same as sexualized language. And of course it is ultimately the role of project maintainers to clarify the rules around language usage, so of course in the case of a project dealing with sexual health no one would expect such a provision to be exercised simply for talking about the topic at hand.
",['intent']
37,"@igraves That's definitely in the spirit of my intentions.
",
38,"@davidcelis I think the part of the CoC you're referring to makes explicit the powers of project maintainers that everyone already knew that they had.  That is to say, if you troll the heck out of any project, you're gonna get thrown out.  The CoC is a covenant (hence the name) wherein maintainers _further_ make explicit their intent to use their powers to further prevent the behavior defined in the document.  The responsibility ultimately rests with maintainers to identify infractions, respond to them, and come to a resolution in a way that fits their community and the CoC.  I think that it's a bit of FUD that promotes the idea that the CoC is the first and last stop for marginalizing some group of people and kicking them out of the project for not engaging in some kind of groupthink.

As far as penalties and bans go, I think this process is something that is best defined by an adopting community of the CoC.  Processes where significant offenders rehabilitate and are brought back into the fold are complicated and expensive (but they can be worth it, too!).  Communities have limited resources and time.  I think it follows that communities that want to employ procedure in this area need to figure out what works for them and implement it themselves (and add it to their fork of the CoC).  It's hard to identify a good one-size-fits-all approach a priori, but it may be possible that a successful process can be derived from many different communities in the future.
",['go']
39,"@seniorwrangler For something like this you're probably best off forking the CoC and replacing the clause with 'unwelcome sexual advances'. Judging what is 'appropriate' and 'inappropriate' language is still maintainer's discretion, codifying it only adds ambiguity.
",['forking']
40,"Whether or not the accused has the right to face the accuser, or is entitled to due process, are all very important questions.

Thankfully enough, there exists another code of conduct that was put in place on other projects many years ago. It's been battle tested. Many arguments have been fought and resolved over its meaning. And most people accept its contents, or at the very least, follow it. That code of conduct is called ""the law"" and it dates back many centuries to Magna Carta (at least in the anglosphere.)

Why reinvent the wheel? Who benefits from that?

Open source projects wishing to ameliorate the very important concerns @parkr and @davidcelis have raised would be well-advised to consider adopting the FTFL-COC as defined by this document: https://gist.github.com/jart/f274d8dc156811a46b22
",['exists']
41,"@jart When we step into shared spaces and collaborative spaces, we often face scenarios where what is legal is not necessarily appropriate in that context. For example, it is legal for me to use expletives, but doing so in a theatre or a school is likely to get me removed.

Aside from that, the legal minimums vary wildly from nation to nation. What is legal in your country may not be legal in mine, so 'the law' is certainly not going to provide a baseline of acceptability in any international project.

The purpose of a Code of Conduct is not to 'reinvent' the law, but to build upon those basic expectations in order to foster a more welcoming environment. Whether a specific CoC gets the balance right is a worthwhile discussion, but creating an expected minimum standard of behaviour above 'follow the law' is certainly not revolutionary.

Having said that, I do think that CoCs should learn from years of common law. Things like the right to face accusations, the right to present evidence in defence, maximum 'sentences' and transparency as to decision making processes seem to have been forgotten in most (including this one).

Just my $0.02, and certainly doesn't amount to absolute support for any specific implementation of a CoC.
",['basic']
42,"That's all I'm trying to get at. I'm trying to discuss a very specific issue here. I don't a problem with the conversation at hand happening, but I'd prefer it happen in a separate issue. They're open, so anybody here can open another one to discuss this other topic. It's just easier. Thanks!
",['discuss']
43,"> On what philosophical grounds are you able to define behaviors as positive or negative? Such terminology implies the existence of an objective morality. Would you argue that the examples of positive and negative behavior given by the CC are objectively correct?
> If you do not believe they are objective, then do you believe they are culturally relative? If so, whose culture is being used to define these behaviors as positive or negative?
> 
> Inherent in the formation of communities is the establishment of a common understanding of positive (acceptable) and negative (unacceptable) behaviors. This is necessarily subjective. However, beyond these community-defined standards, there are identifiable, behavioral anti-patterns (such as sexual harassment) that reinforce systemic abuse of certain populations. Some of these are specifically called out and addressed in the CC. The underlying assumption is that a healthy, positive software community aspires to address– or at least not be complicit with– systemic patterns of abuse or discrimination, instead committing to being welcoming and encouraging diversity.

If a given project owner disagrees with this sentiment, does not believe in institutional or widespread social injustice, does not particularly care about creating and managing a welcoming and diverse community, or finds his or her values not aligned with those stated explicitly or implicitly in the CC then they shouldn’t adopt it. They should, however, make the guiding principles of community development and management that they DO believe in EXPLICIT so that would-be participants can make informed decisions about joining a particular community.

I don’t see a thing that is controversial about this.
",['relative']
44,"Consequently I think any responsible maintainer of an open source project is going to be very cautious about enforcing any ideological views on non-project channels, even if those may come across as racist, homophobic, transphobic, etc.

Much of the fear comes from the question of whether the code of conduct is a tool which will create more strife than it prevents.  And if one uses it to try to position a community relative to culture war topics, that is what will happen.
",['relative']
45,"Hey @CoralineAda could you please link to the GitHub Issue comment where someone was deliberately misgendering you? I ask because you look like a normal woman to me.

> It includes examples of positive and negative behavior.

On what philosophical grounds are you able to define behaviors as positive or negative? Such terminology implies the existence of an objective morality. Would you argue that the examples of positive and negative behavior given by the CC are objectively correct?

If you do not believe they are objective, then do you believe they are culturally relative? If so, _whose_ culture is being used to define these behaviors as positive or negative?
",['cc']
46,"One of the difficulties here which I don't think gets the attention it needs is the fact that open source projects do span large cultural gaps and this includes family structures, places where people retire with the kids, and so forth.  These things lead to different views on things like sexuality.  A community which is welcome to all has to recognize that it exists relative to the cultural communities of the participants.  The goal cannot be a globalization of culture war, but rather a cultural peace.

Certain things are culturally relative.  If gender is culturally constructed, then concepts of gender are culturally relative and people should not be excluded because of views here.

Some things are culturally relative and successful projects tend to be tolerant and welcoming across these issues.

I don't know of any open source community that wants an ideological orthodoxy on hot button issues, but for those that do, explicit notice of such is appreciated.
",['forth']
47,"Question and an honest one:  Is the intent to try to tell the most of the world which has different values that if they express their views on, say, homosexuality on Twitter, that they should not participate in open source?

(One concern I can imagine maintainers having is whether advertising this means effectively soliciting ""so-and-so said such and such on Twitter so please throw him off the project"" tickets.  But I suppose that doesn't happen very often so can be effectively ignored.)
",['twitter']
48,"@jart, @Rudd-O: Please stop hijacking my issue. I didn't open this conversation to discuss whether or not the Contributor Covenant's Code of Conduct should be a thing. I opened it to discuss a nuance in the wording. If you have something else to discuss, you're free to open a separate issue and start a new conversation. But please stop doing it here.
",['conversation']
49,"It’s pretty clear with 1.4 what the scope of restrictions and the applicability of the rules are, Chris. You should read it if you haven’t already. Nothing in CC says that someone’s stated opinions affect their participation in the project unless those statements are made within the context of the project. 

> On Feb 11, 2016, at 6:05 AM, Chris Travers notifications@github.com wrote:
> 
> Question and an honest one: Is the intent to try to tell the most of the world which has different values that if they express their views on, say, homosexuality on Twitter, that they should not participate in open source?
> 
> —
> Reply to this email directly or view it on GitHub https://github.com/ContributorCovenant/contributor_covenant/issues/229#issuecomment-182828305.
",['scope']
50,"Yes, because suggesting starting a new conversation as opposed to hijacking this one is definitely silencing.
",['conversation']
