Tweet,Tags,Suggested_Tags
"Huge props to @annthurium for this amazing trick:

They just asked for a show of fingers for how familiar we all are with JavaScript (1 finger for “what’s JS?” and 5 for expert). They then said they’d use that info to know how in-depth their definitions needed to be. #BRILLIANT","['javascript', 'js', 'depth']","['info', 'definitions', 'js', 'show', 'JavaScript', 'depth']"
Stoked to hear @annthurium talk about their experience with “Goldilocks projects” and @AtomEditor. Puns and dad jokes ftw! 🙌 This is my jam. 🍿 https://t.co/pOEk9PF80C,"['https co', 'https t co', 'jam']","['AtomEditor', 'projects', 'https', 'jam', 'co']"
RT @Weinsteinlaw: If you’re more concerned with which politician is correctly using the phrase “concentration camp” than you are with under…,"['rt', 'phrase']",[''phrase']
"Invest in people first, processes second, and tools third. By doing things in this order you set your team, and therefore your company, up for success. 👏👏👏
@ChrisShort #SwampUp19",['processes'],"['processes', 'set', 'Tools', 'TEAM']"
"Learning that failure can be a GOOD thing is a huge pivot point in our careers... in our lives! Being willing to not only run the risk of failure but learn from it when it does happen can be life changing. 

@ChrisShort #SwampUp19 https://t.co/KRYIIBRrOJ","['https co', 'https t co', 'pivot', 'learn']","['run', 'https', 'co', 'pivot', 'point']"
"That thing where you know something doesn’t work, but the leadership feels compelled to continue down that path anyway... 😳😳

@ChrisShort #SwampUp19 https://t.co/wEo5OhoFd8","['https co', 'https t co', 'path', 'continue']","['https', 'down', 'path', 'co', 'where', 'continue']"
"T-2.5 hours until the @TwitterSRE meetup tonight! If you don’t yet have plans for tonight, be sure to join @annthurium (speaking about my fave text editor, @AtomEditor) and I (talking about why you should care about DevRel if you’re technical). Hope to see you there! https://t.co/bWCIE3SuE3","['https t co', 'https co', 'meetup', 'join', 'text editor']","['https', 'join', 'DevRel', ‘text editor', 'co', ‘meetup’,’AtomEditor']"
".@ChrisShort talking about that moment when you know that things aren’t as they seem at your new job... #SwampUp19 

The chuckles around the room are telling... 😅 https://t.co/65abGjFGYH","['https co', 'https t co']","['co', 'job', 'https']"
"Hanging out at #SwampUp19 this afternoon. Already ran into @sascha_d @LeonStigter @jbaruch and of course, @ChrisShort, whose talk I’m sitting in now! 🙌 https://t.co/18sH40gFYs","['https co', 'https t co']","['this', 'https', 'co', 'out']"
@davidgsIoT @rainleander awww not the same at all!! I know the feeling. Time for a reunion! 😁,['not'],['time']
"@ManekiDenise I'm curious about the premise that there are certain qualities that are ""unlearnable"" (Google Translate's version of the word 😅). I think some qualities might come easier to some than others, but I'd like to think that everyone can grow, striving to equip new qualities.","['google translate', 'word']","['word', 'translate', 'google translate', 'version']"
@FridayPush2Prod @Khatie @rickheaton @Phenteo Is there a link to the finished product? I'd love to watch!,['watch'],"['link', 'product', 'watch']"
"@mz__kev A few things most companies will look for in a dev looking to turn dev advocate:
1) ability to translate technical topics into easy-to-understand concepts
2) empathy for customers
3) involvement in open source projects or community events (meetups, conferences, etc.)","['for in', 'turn', 'translate', 'open source projects', 'events']","['Events', 'projects', 'Open Source', 'translate', 'Empathy', 'turn', ‘Meetups’,’technical’,’community’,’conferences’]"
@mz__kev Absolutely! I'd look into companies that are adding Dev Advocates to their team rather than one that's building a Developer Relations team from scratch (aka you'd be a team of one). They'll be able to set you up for success to learn from other teammates who have more experience.,"['building', 'scratch', 'learn']","['building', 'Scratch', ‘set','TEAM']"
"@ItS_Misan I don't know you, but saw your tweet while pulling together info for this week's DevRel Weekly newsletter and I'd love to hear more about what makes you think that! Happy to help in any way I can.","['newsletter', 'happy']","['info', 'happy', 'any', 'help', 'DevRel', 'newsletter']"
@bria_sullivan @MigMontemayor @techgirl1908 I'd love to hear more about this! I love that there are career workshops happening around Developer Relations.,['career'],"[‘’Workshops’,'Developer Relations']"
I'm excited to give this talk to a broad audience. No need to be in a particular location -- just in front of your very own computer in the comfort of your own office! Come learn about what #DevRel is and how it benefits you as an engineer. https://t.co/FBJxy7uMnP,"['https co', 'https t co', 'audience', 'learn']","['https', 'DevRel', 'co', 'computer', 'audience', 'location']"
@ChrisShort @FunnelFiasco @mike_julian @alexellisuk @PreciselyAlyss @IAmJerdog @QuinnyPig @garethr I mean... are we talking how many RSS feeds? Or how many websites those RSS feeds compile? 😅,"['rss feeds compile', 'rss feeds', 'mean', 'websites']","['rss feeds compile', 'rss feeds', 'mean', 'websites']"
"@ChrisShort @FunnelFiasco @mike_julian @alexellisuk @PreciselyAlyss @IAmJerdog @QuinnyPig @garethr As far as analytics go, I've been struggling to figure out which pieces were most effective and why. e.g. Do I go based on engagement that the person got on their article/podcast/tweet? Or the number of click-throughs I got on the newsletter?","['analytics go', 'go', 'article podcast', 'newsletter']","['figure', 'article', 'Go', 'podcast', 'got', 'click', 'analytics', 'out', 'newsletter', 'engagement']"
@ChrisShort @FunnelFiasco @mike_julian @alexellisuk @PreciselyAlyss @IAmJerdog @QuinnyPig @garethr I'm guessing he was joking 😉 I do understand the sentiment tho! The reading/sorting/filtering takes so much time every week. Being able to increase the filtering via Zapier has gone a long way for me.,"['sorting filtering', 'long', 'filtering', 'zapier']","['filtering', 'zapier','sorting', ‘time’,’ sentiment’]"
@ChrisShort @mike_julian @alexellisuk @PreciselyAlyss @IAmJerdog @QuinnyPig @garethr How do you find the content that is newsletter worthy? That's where my RSS feeds &gt; Zapier &gt; Pocket come into play.,"['rss feeds', 'newsletter', 'zapier', 'pocket']","['rss', 'feeds', 'zapier', 'pocket', 'find', 'newsletter']"
"Issue 69 of #DevRelWeekly is out! Articles from @krunchdata &amp; @DeveloperModeCo in addition to tweets from @bitandbang @jonobacon @iam_lizzyfierce and a #DevRelCon recap from @devrel_net among other things. Check it out &amp; subscribe here: https://t.co/xnykVU5yBa

#DevRel #CMgr","['https co', 'https t co', 'addition', 'tweets', 'subscribe']","['https', 'tweets', 'DevRel', 'co', 'out', 'subscribe', 'addition']"
"@alexellisuk @ChrisShort @PreciselyAlyss @IAmJerdog @mike_julian @QuinnyPig @garethr One more piece that was hugely helpful for me (and that I'm now noticing is lacking in Evernote:

- If I _can't_ archive the articles in a separate list, I need to be able to sort by ""untagged"" articles to see which ones I still need to sift through for this week's issue.","['evernote', 'archive', 'sort', 'sift', 'list']","['evernote', 'archive', 'sort', 'sift', ‘list’,’untagged']"
"@alexellisuk @ChrisShort @PreciselyAlyss @IAmJerdog @mike_julian @QuinnyPig @garethr I'm completely fine with paying for it! Freemium seems to be the way to go. I'd say my paying limit is probably $25/month, which is currently 5x what most of these platforms charge.","['go', 'month', 'limit']","[‘Go’,'limit','Freemium']"
"@alexellisuk @ChrisShort @PreciselyAlyss @IAmJerdog @mike_julian @QuinnyPig @garethr must have:
- import via Zapien (pref) or IFTTT)
- ability to tag articles
- search (minimum title &amp; link) tho pref in-article
- bulk edit

nice:
- preview of article
- ability to archive articles
- multi-person login","['search minimum title', 'article bulk', 'import', 'ifttt', 'preview', 'archive', 'login']","['title', 'edit', 'search', 'login', 'article', 'minimum', 'import', 'link', 'archive', 'preview', 'ifttt', ‘bulk’,’ multi-person login']"
"@ChrisShort @PreciselyAlyss @IAmJerdog @mike_julian @QuinnyPig @garethr @alexellisuk It's not my favorite option but it looks like the only one that checks all the boxes right now  ¯\_(ツ)_/¯  I'm going to have to do some wrangling to import everything that I have in Pocket, but I think there's an IFTTT recipe that will work for that.","['favorite option', 'ifttt recipe', 'import', 'pocket', 'boxes']","['option', 'pocket', 'recipe', 'import','favorite', ‘ifttt’,’boxes']"
"@ChrisShort @PreciselyAlyss @IAmJerdog @mike_julian @QuinnyPig @garethr @alexellisuk I honestly think I'm just going to move things over to Evernote for the time being. It can do Zapier integrations. I can share the notebook with others. I can view card snippets &amp; bulk edit. I can tag things &amp; search within items. It's available offline, and it syncs w/iOS.","['evernote', 'zapier', 'share', 'bulk', 'offline', 'ios', 'search']","['move', 'evernote', 'zapier', 'share', 'edit', 'search','bulk', 'offline', 'view', 'ios', 'items', ‘time’,’sync’,’share’]"
@ChrisShort @PreciselyAlyss @IAmJerdog @mike_julian @pocketsupport @Pocket @QuinnyPig @garethr @alexellisuk happy to help however I can!,['happy'],"['pocket', 'help']"
"@PreciselyAlyss @IAmJerdog @ChrisShort @mike_julian @pocketsupport @Pocket @QuinnyPig @garethr You can actually use Zapier to pull an RSS feed _from_ Raindrop, but I need to be able to import items from multiple RSS feeds _into_ Raindrop on a continual basis. There are lots of ppl asking for it, but it hasn't been implemented yet and no longer seems to be on the roadmap.","['ppl', 'rss feeds', 'zapier', 'import', 'basis', 'roadmap']","['rss', 'feed', 'feeds', 'zapier', 'ppl', 'pocket', 'basis', 'import', 'pull', 'roadmap', 'items']"
@raindrop_io Any thoughts or plans around these integrations? There are a bunch of Premium Pocket members who are now stranded because of their recent changes which broke our workflow. We're more than willing to pay... we just need the Zapier/IFTTT integrations.,"['zapier ifttt', 'bunch', 'pocket', 'workflow']","['members', 'zapier', 'pocket', 'ifttt', 'workflow']"
"@IAmJerdog @PreciselyAlyss @ChrisShort @mike_julian @pocketsupport @Pocket @QuinnyPig @garethr I just found the reason why I (and likely others) can't use it -- there's no Zapier or IFTTT integration 😩 I'll keep digging... it's possible that among us we can figure out a way to build the integration ourselves using their API, but it's not a solution I can integrate today.","['ifttt integration', 'integration', 'integrate', 'build', 'no zapier']","['figure', 'using', 'zapier', 'integrate', 'reason', 'pocket', 'integration','out', 'API', ‘build','solution']"
