s.no,text,stanford_sentiment,stanford_qa
58,"Great meetup! Also, for anyone looking to participate in the June 5th day to improve web security, go to resetthenet.org to register your website.",positive,unpredcitable
59,"Great session, great speakers. Would meet again.",positive,unpredcitable
60,Best meet up yet!,neutral,unpredcitable
61,"Excellent content and food, well organized",positive,unpredcitable
62,Meetup was great.If you can share those slides,positive,unpredcitable
63,"I really enjoyed it.  Great place, great people, great tech.",neutral,unpredcitable
64,is this just boozing and socializing?,negative,Q
65,"Great talkers, rich topics, awesome perks (food, beer, wine, raffles and Bay Bridge sights). Way to go, Google!",neutral,unpredcitable
66,"I can't see it live on Youtube, only sponsors ads are going on",negative,unpredcitable
67,"there are a handful of free reports, stickers, and discount codes from O'Reilly Media on the swag table. Be sure to check them out & grab them quickly -- they won't last long!",negative,unpredcitable
68,"Traffic looks bad, so I'm  giving up 2 spots.",negative,unpredcitable
69,There are free IE stickers... hurry up or they might all be gone by the time you arrive...  lol,negative,unpredcitable
70,pic.twitter.com/F6RMCXndXo,neutral,unpredcitable
71,I'm here _right now_,neutral,unpredcitable
72,There's traffic gridlock in the area. Please consider taking public transit (or walk/bike).,neutral,unpredcitable
73,Can I attend even though RSVPs are closed?,neutral,Q
74,"If you are on the wait list, feel free to come down now.",neutral,Q
75,"Hi, a friend of mine would like to come, but it seems the rsvp is closed. I can see there are still some spots left. What should he do to join?",negative,Q
76,"Looking forward to this all week! See you guys there! And if you're hiring, I'm a contracting UI/UX designer/dev with front end skills, going back into full-time. I'll be in a blue Billabong hat, come say hi :)",negative,unpredcitable
77,"Hey Jason, there are at least 4 design openings at Indiegogo - https://www.indiegogo.com/careers - do fun tech and change people's lives.",neutral,unpredcitable
78,"Dear Sean, Hope you feel better soon!  Thank you for the post. Cordially, v",positive,unpredcitable
79,"Last minute business meeting... had to change RSVP :(

Have fun guys",neutral,unpredcitable
80,"Hello there, 

When I RSVP for this event I did + 1 how can I verify this went through?",negative,Q
81,Hi! I'm a visiting ECE student from Malaysia and find this super interesting! The RSVP is closed but is there any chance I can still get in? Is the waiting list available?,negative,Q
82,"Hi Roti: If you arrive early tomorrow (5p), you should be able to join the waiting list and get into the event.",negative,unpredcitable
83,Thanks Vanessa! I'll be there tomorrow!,positive,unpredcitable
84,"Please note that you must be a member of SFHTML5 to attend tomorrow, so register before you come down.",positive,unpredcitable
85,It was amazing!!! I am surely coming back next month!,positive,unpredcitable
86,"I just canceled my RSVP, incase you were still going :)!",negative,unpredcitable
87,"for those waiting, outside chance i wont make it.",neutral,Q
88,"Really wanted to go, but I've been feeling under the weather the past few days, so I'm freeing up an RSVP.",negative,unpredcitable
89,Where is the entrance?,neutral,Q
90,"I freed up an RSVP - thank you for providing the live stream, I will patch in with you all then.",positive,unpredcitable
91,"Likewise, just freed up my RSVP. I'll watch the stream to save a trip to SF, and somebody on the wait list can take my place....",negative,unpredcitable
92,Note: the waitlist is automatically updated and people are notified via an email from Meetup when they are moved to the guest list.,negative,unpredcitable
93,just declined my RSVP to make room for a wait-lister since I can no longer go.  will look forward to the screencast,negative,unpredcitable
94,"[masked] Dear Vanessa, Thank you for all your efforts that you have done to make this a great event! Be well to all.  Cordially, Virginia",positive,unpredcitable
95,"I'm clearing my spot, not going to be able to make it.",neutral,unpredcitable
96,"There are 2 spots left but RSVP is closed.I'd really like to get one of the 2 spots, thanks!",negative,unpredcitable
97,"Hi Twain: Please check your mail for instructions for the wait list tomorrow. We'll be admitting folks from the wait list on a first come, first served basis and there's a good chance we'll be able to admit most.",,
98,I'm passionate about security,positive,unpredcitable
99,I'm in!,neutral,Q
100,Would I be allowed to bring a video camera to record?,negative,Q
101,The event is already being recorded,negative,unpredcitable
102,"Hi Byron. No. However, we are live streaming and recording the event and the recording will be available right after the event.",negative,unpredcitable
103,"ok thanks, looking forward to it",positive,unpredcitable
104,"For all HTML5ers, I've blogged the status of Heartbleed bug. Interestingly, only 0.53 percent of the top 10,000 websites remain vulnerable

http://bit.ly/1iQU9r4",negative,unpredcitable
105,Hello,neutral,unpredcitable
106,"Hi, I wanted to know how long is the wait list? I would really love to attend this event.

Thank you",unpredcitable,Q
107,"$('#wait-list').text().trim()

or just search for ""waiting"" -> 18",neutral,unpredcitable
108,"The waiting list is managed by Meetup, if you move up on the list and get an empty spot you will get an email telling you so.

Show up the day of the event, most likely you will be allowed in, based on the people who are registered and don't show up",negative,unpredcitable
109,"What a great teaser from Mr. Eduardo Vela Nava: ""you will be completely convinced, that the best way to develop secure software is by knowing absolutely nothing about security."" I'd like to hear that - maybe a focus on quality first?  :)",negative,Q
110,"Wow, another great set of talks!",positive,unpredcitable
111,Can't wait! Last time I was at Google SF got some great pics and video. See you guys there :),neutral,unpredcitable
112,"Since I cannot see a price listed anywhere here, does that mean the meetup is free of charge? I've RSVPed on Meetup.com, do I need to do anything else to guarantee my spot?

I am also assuming we should bring our laptops and be ready for hands-on interaction.

This will be my first time at Google San Francisco and it looks like it's going to rock.",,
113,"Hi Aaron -- the event is free. Your RSVP says ""yes"" and therefore you do not need to do anything else at this time. On the day of the event, please arrive early (before 6p) to ensure you get a spot in the room. There is guest WiFi available.",positive,unpredcitable
114,"I just found out I'll no longer be able to attend this Meetup, but I already paid. I'd like to give my ticket away to a friend of mine who's interested, is that possible to do when it was paid for via Meetup?",,
115,"[masked] Hello Vanessa, Thank you for the post.  I too was wondering if the event is complimentary; it is, yeah! Be well. v",neutral,unpredcitable
116,"The talks from the Kranky Geek WebRTC Show are live on YouTube!

Check out the videos here:
https://www.youtube.com/watch?v=prpq-XJsIoI&­list=PLUj8-Hhrb-a2S-TybsaiYuiAncmy­7-klr",negative,unpredcitable
117,Make sure that you send the organizers your full (First & Last names) since it's not part of your user ID. This helps smooth out the security process.,neutral,unpredcitable
118,???,neutral,unpredcitable
119,[masked] Thank you Misty for bringing the information to my attention.  Be well. v,neutral,unpredcitable
120,Is the date of this event correct?,neutral,Q
121,Paying at the door;  No longer trust internet and cards.,neutral,unpredcitable
122,"I attended every Google I/0  NY Event till Nitya Narasimhan took over this group.  We each had a relationship with Google, now only Nitya Narasimhan does and we're locked-out.",,
123,Could you please post slides/recording of the session? Thanks,unpredcitable,Q
124,"Hey Maurits - Yes, the date is correct.",neutral,unpredcitable
125,Can we get links for all the presentations?,negative,Q
126,"Hi, I have been summoned for jury duty on a day that tends to conflict with the date of this event. I hope to be able to attend, assuming that I am not needed for the jury duty.",negative,unpredcitable
127,You can find the Tensorflow.js material over here! => https://www.fullstackweekly.com/category/blog/diving-into-tensorflow-js,negative,unpredcitable
128,"Hi Vikram,

Interested to learn more about Cloud Datafusion and GCP Devops approach 

-Rajeshkumar",negative,unpredcitable
129,Thanks for your feedback. We will try to schedule an event around that soon.,positive,unpredcitable
130,But what  fi you have that's veggie?,neutral,Q
131,"I'm also interested in the streaming question.
I may also have a plus 1.",neutral,unpredcitable
132,"Hey Howard, +1s are fine. :)",positive,unpredcitable
133,"Could you also send me the menu??  

I'm veggie and also gluten free and have had some difficulty at the recent events....

That could tell me if I need to bring my own rice or GF bread, etc.",,
134,"Hey Howard, Sadly we won't be able to accommodate gluten free diet.",negative,unpredcitable
135,Are you going to live stream the live sessions?,positive,Q
136,Hey Norman - Sadly we won't be able to live stream the sessions.,negative,unpredcitable
137,"...between the Democratic Convention at Moscone and this meetup, that's a hard choice!",negative,unpredcitable
138,Is there any entrance fee or it’s a free event with walkin,neutral,unpredcitable
139,It’s a free event.,neutral,unpredcitable
140,"Hey folks!

We are excited to have you all at the event. Please note that the workshop in the afternoon is for all levels and geared towards newbies in open source. Please make sure that you have a github account and bring your laptops and chargers along.

See you all then!",positive,unpredcitable
141,We are at a reserved table on the far left side of the bar (in the back) 🥳,neutral,unpredcitable
142,"Hi everyone, hope you’re as excited as we are! If you haven’t left already, I highly recommend leaving some extra time for parking. 😉 see you soon!",neutral,unpredcitable
143,"Hi folks,

I'm seeing the RSVPs ticking up past 300 so it's time to   state the obvious caveats :-)

Our venue is meant to hold about half that number. More importantly, we are budgeting for food/drinks for about 150-175 people.

We have tried to micro-manage RSVPs in the past and always found that we'd have open seats & no-shows (while people who really wanted to be there were waitlisted) - however when we let this play out, it seems to work out best since those who *can* make it, often do arrive early.

Please be aware that venue seating, food/drink & swag will be on a first-come-first served basis. When we reach capacity, we will try to post a comment to this space to let you know but in general we find we reach full capacity by 7pm. 

Other than that, we look forward to seeing you all one last time before 2018, and wish everyone in this community a happy & productive New Year in advance.",,
144,"Hey Brendan, sorry for the confusion, I updated the address. there are 2 entrances on the 9th ave side, take the one closet to 16th street, our volunteers will meet you there.",negative,unpredcitable
145,"Flutter Talks https://goo.gl/UDdxvd
Flutter CodeLabs https://goo.gl/PY59Ev
IO18 Keynote https://www.youtube.com/watch?v=ogfYd705cRs
 #io18extended #flutterextended",negative,unpredcitable
146,"For any of you who enjoyed the Angular Elements talk, here are my slides => http://nge.michaelsolati.com

(Written with Angular Elements!!)",positive,unpredcitable
147,"Thanks for joining the talk. For more info about the future of the web, The slides and further reading are here: https://docs.google.com/presentation/d/1D9sQNgp1o7EW6mS---Ksw-4Tr7V4LqsVCyzRYpHwheM",neutral,unpredcitable
148,You can bring your bike in the building and leave it just outside the entrance to our office when we go up where it will be safe (on the 6th floor).,negative,unpredcitable
149,"Thanks for a great event, I really enjoyed the talks. BTW, we're looking for partners for a very early stage startup. If you're interested in libraries, eBooks or digital publishing, please contact me at michelle@inthestacks.tv. We're currently developing our first product.",positive,unpredcitable
150,Thanks.  I've worked with Firebase before and I'm looking for another web developer and someone with UX experience to round out the team.  Send me a message on meetup if you're interested in working together.,negative,unpredcitable
151,Sent you a message.  I'll also be on the DevFest Slack once it's set up.,neutral,unpredcitable
152,Hey Luvneesh - remind me if I don't get it done within the next 2 days. Just want to wrap up Hackathon/AppFest stuff tonight.,negative,unpredcitable
153,Thanks Will!!!,positive,unpredcitable
154,Sorry I miss yesterday meetup.  I thought it was today.  I will catch the next meetup.  And I was interested in the Hackathon.,negative,unpredcitable
155,"Hello WWCode! If you couldn't attend the event, here are some wonderful resources from the workshop at Strave that can catch you up on what you missed:

- Event recording -> https://drive.google.com/file/d/1K2SHTE1Vi7aG-mnCq5FhL5FzyHPp9wsx/view?ts=5d6eaaa3

- Medium blog post on the workshop -> Containers Orchestration with Kubernetes https://link.medium.com/WwA4z9RjJZ

- Presentation from WWCode webinar on the same topic -> https://www.dropbox.com/s/o13yjxc1kfho71s/IBM_201908_containers_101_wwcode.pdf?dl=0 

Don't forget to follow our Meetup page so you don't miss any future events and resources!",negative,unpredcitable
156,"Very informative, presentations were well rehearsed and succinct. Cocktails were delightful, wine delicious and the catering wonderful.",positive,unpredcitable
157,"Here's the IBM Meetup page Marek mentioned:
https://www.meetup.com/IBM-Developer-SF-Bay-Area-Meetup/",neutral,unpredcitable
158,I can’t make it anymore. Will you be sharing slides or something?,neutral,Q
159,Amazing event..we enjoyed...now we are back to Seattle WA,neutral,unpredcitable
160,"Yes, I think we should be able post slides tomorrow.",neutral,unpredcitable
161,"Hi Everyone, 
As a reminder, please download and install the following *before* you come to the workshop.  We will have wifi, but not enough for everyone to download entire applications at the same time!

""Be sure to 1. download Docker, 2. test it as shown below, and 3. sign up for IBM Cloud before you arrive.""

Details and links are on the Meetup invitation here: https://www.meetup.com/Women-Who-Code-SF/events/263565988/

And as always, please change your RSVP to *not coming* if you can't come after all to free up the spot for others.",,
162,loved the presentations and the information I get from the meetups always point me in new directions for my own work,positive,unpredcitable
163,"Agenda:
1st week: machine learning basics and intuitions
2nd week: tensorflow apis
3rd week: deploying machine learning models on kubernetes

All about today:
The topics discussed today were:
Linear regression, Machine learning and its signifance, Sophia the AI robot,
Data visualization and its power, bias, variance, mean squared error and its significance,
linear correleation w.r.t machine learning, the process of building and developing a machine learning model,
loss function, cost function, cross entropy, recall, machine learning math intuition, euclidean distance,
f score and etc.

I couldn't attend the second session so someone who had can share their experience maybe.",,
164,"Mr.Organizer , What is the eligibility criteria to be selected for this meetup, I'm a student of BTech IT 3rd year,  I have to get permission from my department HOD to attend this meetup , But still I didn't get the confirmation email, this is the third meetup from GDG I'm applying but didn't get confirmation mail any one of the time, 

Is it not for students like me who is enthusiastic when it comes about Machine Learning and AI ,

Please organizer respond to my comment , and I want to attend this meetup.

Regards,
Parvez :)",,
165,"as promised, my slides for What's New in Angular 5:

https://docs.google.com/presentation/d/1_Am96XyWRMgsqgykJQFSLvTfKfgx4wAQ6lc0tMSQGgY/edit?usp=sharing

========

How to use exportAs, in general:
https://netbasal.com/angular-2-take-advantage-of-the-exportas-property-81374ce24d26

Explanation of why the exposing of source files for i18n xliff:
https://github.com/angular/angular/issues/14190

PR for zonejs blacklisted events:
https://github.com/angular/angular/pull/18993

Date Pipe changes from nolonger using Intl API:
https://docs.google.com/spreadsheets/d/12iygt-_cakNP1VO7MV9g4lq9NsxVWG4tSfc98HpHb0k/edit#gid=0

Other pipe changes (sorry for linking you to a changelog):
https://github.com/angular/angular/blob/master/CHANGELOG.md#other-breaking-changes

Discussions about Intl API:
https://github.com/angular/angular/issues/10809

How to transition to common/http:
http://blog.ninja-squad.com/2017/07/17/http-client-module/

Sophia's talk on 4.3:
https://www.youtube.com/watch?v=bjP9FAyLvkE",negative,Q
166,"Thank You all for coming and enjoying the tech fun with us! Thank you to our speakers who did such an excellent job in sharing their knowledge and experience in fun and interesting ways. Thank you to the volunteers who helped with setup and cleanup. Thank you to our sponsors who made it possible to host this event for FREE, yet still have food and swag for everyone in a nice comfy venue. See you all soon!",neutral,unpredcitable
167,"Great people, great food, free stuff and learning along the way! However, the place was small and seats were not all focused toward the screen and the screen was pretty small in itself. The speakers were cool but it felt a little too advanced and I was lost during several parts of their presentation. I guess they all assumed we would know what they are talking about. If the description had a little info on what we should have known prior to coming, that would have been nicer. Other than that, fantastic event given that it's at no cost to you.",,
168,"Thanks for attending tonight!  I hope you enjoyed yourselves and learned a thing or two along the way.

Slides have been posted to Speaker Deck - https://speakerdeck.com/nathenharvey/chef-provisioning.

Code and the slides are also available on GitHub - https://github.com/nathenharvey/chef-london-meetup-feb-2015",positive,unpredcitable
169,"My last comment on this thread - for those who did NOT see my email (promo codes expire in 30 mins) -- check your SPAM FOLDER. Apparently quite a few of my emails made it there (maybe because I had a long bcc list?)


The FREE codes for Day 2 expire tonight at midnight. After that you can still participate in the Hackathon if there are seats available - but you may not get a FREE pass anymore since we will be switching over to promoting the Tech talks (Day 1) & Workshops (Day 2) that happen alongside.",negative,Q
170,"We are very excited that DevFest is almost here and look forward to seeing you all! We have great speakers, food, swag and some surprises. 

A waitlist is growing and ask you to be considerate of fellow community members who would like to attend.

If you find out you cannot make it please update your RSVP so that someone from the waitlist can take your spot. 

See you Saturday!!!",positive,unpredcitable
171,Link to the blog which give examples of the cookbooks  http://engineering.ooyala.com/blog/network-management-and-automation-chef and the github links it self https://github.com/ooyala/cumulus-linux-cookbook and https://github.com/ooyala/quagga-cookbook,negative,unpredcitable
172,"I'm excited about seeing everybody tomorrow, so happy to have another UbuCon in Florida",positive,unpredcitable
173,"Idea 5:

Ankit Srivastav (NYIT)

Use GeoFire to be notified about what that location is good for. Also can give you information about whether that location is safe or not - looking for Android Developers",negative,unpredcitable
174,great!!,neutral,unpredcitable
175,Great event!,positive,unpredcitable
176,I must confess: I'm not thrilled with the mandatory mailing list sign up.,negative,unpredcitable
177,"Hi all - thank you all SO much for showing up, sharing ideas & working through codelabs. 

My huge thanks to Trey, Kirill, Michael, Sherzat & Richie for mentoring - and to Lakshma &  Donna for helping manage event logistics. Also to Sheny (our Google host) for all the help with venue arrangements & staying till the end to help us close this out!

AppFest Hackathon steps are as follows:

1. 
Fill in the Call-For-Participation here:  http://bit.ly/appfestNY-cfp-2017

2.
Registered folks will receive a PROMO code for free DevFest Day 2 registration tomorrow morning. Use that to register for the appropriate ticket on EventBrite by tomorrow night.

3.
All ticketed attendees will be invited into a Slack channel to start pre-event discussions/team-formation etc.

4.
No code to be written prior to Sunday Dec 3. However you can plan ideas, explore codelabs & samples (to validate requirements) & identify who-does-what. Teams should be 2-4 people.

Look forward to seeing you all on Dec 2-3!",,
178,"Hi all - we are going to setup the room with tables (for codelabs) & stack chairs on the sides to accommodate as many as we can. 

I don't have the bandwidth to micro-manage the RSVP lists - we always have no-shows which makes me feel guilty about those on waitlists who didn't get to attend.

So this time I am letting it play out. Be aware that seats will be first-come first-served. I want this to benefit as many people as possible so if for any reason we hit capacity, I will share all content/materials afterwards on this page as well.

Bring your laptops/power cords. If you can't make it at 4pm that's okay - we'll do a shorter recap at 6:30pm for the regular session arrivals.

Finally, please be kind to each other and to the organizers. Holidays tend to be stressful so let's take care of each other & ourselves. This is an amazing community and we can get through this.

See you then.",,
179,"1. How does it help in delivering the commercial and strategic objectives of a company?
2. What is the perfect customer? What are the conditions of that company that will make it worthwhile for supplier and customer to collaborate and deploy Chef? Is it size, income, number of employees, geographical diversity, industry sector, other?
3. If you were talking to a group of CIO's what would your primary messages to them be?
4. How does it offer business agility, speed to market, regulatory compliance, increased market share, client analytics, expansion and transformation opportunity, leadership in business performance? In other words, why would I buy?

Thanks, MO",neutral,Q
180,"Hi all - we are going to setup the room with tables (for codelabs) & stack chairs on the sides to accommodate as many as we can. 

I don't have the bandwidth to micro-manage the RSVP lists - we always have no-shows which makes me feel guilty about those on waitlists who didn't get to attend.

So this time I am letting it play out. Be aware that seats will be first-come first-served. I want this to benefit as many people as possible so if for any reason we hit capacity, I will share all content/materials afterwards on this page as well.

Bring your laptops/power cords. If you can't make it at 4pm that's okay - we'll do a shorter recap at 6:30pm for the regular session arrivals.

Finally, please be kind to each other and to the organizers. Holidays tend to be stressful so let's take care of each other & ourselves. This is an amazing community and we can get through this.

See you then.",,
181,I went ahead and RSVP-ed the larger room so we can easily hold 68 folks with tables/chairs now. I may need some help with setup if we do get that many people. Registration will be open all day and you can stop in as you are available. I'm looking forward to seeing you all tomorrow :),,
182,"This event is sponsored as a unConference where subjects are proposed as you come in the door.  The initial introduction provided participants with an explanation that subjects will be discussed in a round table fashion utilizing the more heads are better than one principle.

The reality is that most presentations were prepared beforehand and presented with a request for questions.  The actual conference sharply deviated from the proposed venue where a group of people participate equally in finding solutions to difficult issues.  The structured presentations that were  given provided less value than I expected.

As a value proposition, bang for time invested, I rate this conference very low. I would not recommend this event to other CEOs with limited time trying to get traction.  Their time is better spent in the trenches.",,
183,"when do tickets go on sale? I'd love to attend this, but Eventbrite is telling me all sales have ended. Thanks!",neutral,Q
184,"Huge thanks to the Hacker Dojo in Mountain View for letting us use their space! I did need to cap our event attendance as we have a room that can only hold about 25-30 people.  

Good news though, I'm already looking to organize our January event, and will post more about that and a date soon!. 

Thanks, and hope you all had a super thanks giving!",positive,unpredcitable
185,"Those slides are very informational and helpful for people new to version 12. If possible, can we share those slides somewhere later on?

One thing I learned from the presentation is Chef provisioning. We currently has service dependencies on a certain services starting/running parallel on multiple nodes and other services will need to listen to status of completion from these nodes in order to proceed rest of the run-list. We were home-growning couple ways of doing this, but with this standard way is much better.

Also the community and enterprise unification is a good move, we are looking forward to much stable codebase.",,
186,We're all super excited to get some great action for our LoCo.,positive,unpredcitable
187,"Feel free to add yourself to the Lightning Talk Program wiki:
https://hackpad.com/Meteor-Devshop-0-Lightning-Talk-Program-zC2acQHykEh",neutral,unpredcitable
188,"Pleasantly surprised it wasn't overcrowded.  I've heard Ariya before - he wasn't as polished this time, but he was much funnier.  Showing us how to build v8 from github, then running d8 (which he blogged about a day or two beforehand) was very enlightening (seems so easy).",neutral,unpredcitable
189,"How did we miss that!, the people on reception also should have said when our names weren't on their list, lesson learnt 'assume nothing'",negative,Q
190,"It was great to meet all of you tonight! If you have any other questions about Velocity or O'Reilly in general, shoot me an email at maryt @ oreilly . com

Looking forward to seeing you at future events!",negative,unpredcitable
191,"I know they cannot come in the building, but I do now that Yelp has a gated area outside their building at the entrance that is off the street.  I assume you can lock up there.  I will ask now.",,
192,"Here are some ""pure"" CSS3 eye-candy code samples, some of which were 'linted' in csslint (the results were interesting):
https://code.google.com/p/css3-graphics/",negative,unpredcitable
193,"hi everyone,
It was great to meet some of you on Monday night! Here are the OSCON discounts I mentioned:

- Expo Hall Only Pass: includes Expo Hall and all events held there, all Sponsored Sessions and Tutorials, and all Special Events (parties, 5K glow run, Ignite, and more). FREE using discount code UGEXPO 
- 20% off any conference registration using discount code OS13UG

I hope to see you there! Be sure to look me up if you do come. 
-Mary",neutral,unpredcitable
194,"hah, bumpy roads mean premature submissions...  anyway, I was going to ask if there is any structure to these meetups -- topics, presentations or whatnot.",negative,unpredcitable
