s.no,text,labelled_sentiment,stanford_sentiment,stanford_qa
22,iPads Replace Bound Playbooks on Some N.F.L. Teams http://t.co/2UXAWKwf @apple @nytimes,positive,negative,unpredcitable
23,@apple..good ipad,positive,positive,unpredcitable
24,@apple @siri is efffing amazing!!,positive,positive,unpredcitable
25,Amazing new @Apple iOs 5 feature.  http://t.co/jatFVfpM,positive,positive,unpredcitable
26,"RT @TripLingo: We're one of a few ""Featured Education Apps"" on the @Apple **Website** today, sweet! http://t.co/0yWvbe1Z",positive,neutral,unpredcitable
27,"We're one of a few ""Featured Education Apps"" on the @Apple **Website** today, sweet! http://t.co/0yWvbe1Z",positive,neutral,unpredcitable
28,"When you want something done right, you do it yourself... or go to @Apple. AT&T you're useless these days. #yourdaysarenumbered

",positive,neutral,Q
29,We did an unexpected workshop for the #iPhone4S at @apple yesterday and we got an awesome amount of info #notjustaboutthephone @gamerchik16,positive,positive,unpredcitable
30,&lt;3 #ios5 @apple,positive,neutral,unpredcitable
31,---» RT @Apple No question bro. RT @AintEeenTrippin: Should I get dis iPhone or a EVO 3D?,positive,negative,Q
32,RT @imightbewrong: I'm OVER people bitching about the #iPhone4S... I think it's the smartest phone I've ever had and I'm very happy.   : ...,positive,,
33,I'm OVER people bitching about the #iPhone4S... I think it's the smartest phone I've ever had and I'm very happy.   :)  Way to go @Apple!,positive,,
34,@Twitter CEO points to @Apple as 'corporate mentor' as @iOS signups triple http://t.co/GCY8iphN,positive,negative,unpredcitable
35,At the bus with my iPhone ;) thxx @apple,positive,neutral,unpredcitable
36,"@azee1v1 @apple @umber AppStore is well done, so is iTunes on the mobile devices.  I was talking about desktop app.",positive,positive,unpredcitable
37,NYTimes: Coach Wants to See You. And Bring Your iPad. http://t.co/J2FTiEnG #iPad @apple set red 42 red 42 hut hut @NFL wish I had an #iPad,positive,negative,unpredcitable
38,@apple @jilive @DanielPink: Apple sells 4 million iPhone 4S units in first weekend ... Steve Jobs brilliance lives on for ever! #iphone #RVA,positive,neutral,unpredcitable
39,@blackberry is like the #Titanic and it seems everyone is running for the @apple #iPhone life rafts and there won't be enough for everyone!,positive,negative,unpredcitable
40,@bkad5161 than apologize to @apple ;),positive,neutral,unpredcitable
41,@Apple downloads of iOS 5 are proving popular with users  -- http://t.co/NSHLfiUX,positive,positive,unpredcitable
42,"Lmfao look at the argument I had with Siri !!
@ijustine @apple http://t.co/D4VjL7SI",positive,neutral,unpredcitable
43,Incredible: 4 million iPhone 4Ss in 3 days. 135% better than the iPhone 4 http://t.co/1FMJxTMM @apple #iphone4s,positive,positive,unpredcitable
44,Save me from #HP's unwanted OS! Help me buy an #iPhone! I have seen the light! #lol http://t.co/8gUP9Acz #backchannel @apple,positive,negative,unpredcitable
45,Well @apple fixed my #ios5 battery drain problem with a replacement iPhone 4 -- it's working like a champ now,positive,negative,unpredcitable
46,Currently ordering a BRAND NEW MACBOOK PRO!!! Bahhh... my MacBook is 5 years old. I'll miss it. But it's time. cc: @Apple -,positive,neutral,unpredcitable
47,you are so blessed. @apple,positive,positive,unpredcitable
48,"#Siri now knows who my dad, mom, brother and girlfriend is.  Thanks @apple",positive,positive,unpredcitable
49,Well at least the @apple store has amazing call waiting music! #need4s,positive,positive,unpredcitable
50,#sweet... #apple replaced my glass #probono. thank you @apple,positive,neutral,unpredcitable
51,Not Bad! @Apple Sells Over 4 Million #IPhones in Debut Weekend - Bloomberg http://t.co/AVSl3ygU - #smartphone #sm RT @VinodRad,positive,positive,unpredcitable
52,"loving new technology from @apple iPhone 4s, mac air and iCloud are unreal #technology",positive,positive,unpredcitable
53,I'm loving this new IOS5 update :) @apple,positive,neutral,unpredcitable
54,Another mention for Apple Store: http://t.co/fiIOApKt - RT @floridamike Once again getting great customer service from the @apple store ...,positive,negative,unpredcitable
55,Time to go get my iPhone 4s.  Looking forward to sticking it to the man by no longer paying for most texts.  Thanks @apple.,positive,negative,unpredcitable
56,hey @apple I hate my computer i need a #mack wanna send me a free one.,positive,negative,unpredcitable
57,Thank you @apple. My new gf(iphone4s) is great!  She does everything!,positive,positive,unpredcitable
58,#iCloud set up was flawless and works like a champ! To the Cloud @Apple,positive,positive,unpredcitable
59,@Wisconsin_Mommy @Apple I'd totally email the company... I always get great service at our @Apple store!,positive,positive,unpredcitable
60,@apple loving the new IOS5 upgrade for the iPhone!,positive,positive,unpredcitable
61,The nice @apple tech support guy fixed my iTouch =D,positive,positive,unpredcitable
62,Once again getting great customer service from the @apple store at millenia mall.,positive,positive,unpredcitable
63,Is it just me or is #iOS5 faster for the iPad? @apple,positive,negative,Q
64,I love our @apple imac even though I haven't seen my hubby in 3 days now! #geek,positive,neutral,unpredcitable
65,making the switch from @Android to @Apple #iphone #iphone4S #smartphone #stevejobs (@ Apple Store) http://t.co/kj6pJvkH,positive,neutral,unpredcitable
66,So THANKFUL for the incredible people @apple for going above and beyond and offering to and replacing my  water-damaged Macbook Pro!!! Wow!,positive,positive,unpredcitable
67,New macbook is too sick @apple,positive,negative,unpredcitable
68,Play on ma man. Loving the camera in the #iphone4s. Well done @apple  #fb http://t.co/tmdFqRe1,positive,positive,unpredcitable
69,So yeah... @apple #iOS5 #readinglists have changed my life. #nowicanspendevenmoretimeonmyphone.,positive,positive,unpredcitable
70,@Apple Safari Reader owns the worldwide web,positive,negative,unpredcitable
71,I love @apple service . My case has cracked 3x and I go in and they hand me a case and I walk out,positive,,
72,"#10twitterpeopleiwouldliketomeet 
@coollike @TheGadgetShow  @thelittleappkid @Jon4Lakers @BenRubery @Apple @twitter @FXhomeHitFilm  (-2)",positive,neutral,unpredcitable
73,Said to have laid out the next 4 years @apple.Jobs last iPhone is 2012 not the iPhone4S. iPhone(4G/5) 2012 is magical! http://t.co/DxxklUBp,positive,negative,unpredcitable
74,"Kind of excited. On my way to my last class right now and then going to the @Apple store, so buy #MacOSC Snow Leopard and Lion :-)",positive,positive,unpredcitable
75,i used to be with @blackberry over 4-5yrs .. after all the disruptions and lost gigs thx to their service im moving to @apple #iphone,positive,,
76,"Apple sells 4 million iPhones in 3 days @apple keep doing what you are doing, because you are doing it well! http://t.co/ZZc6bE0w",positive,neutral,unpredcitable
77,Yessss! I'm lovin the iPhone update especially the slide down bar at top of screen =) good job @Apple.,positive,positive,unpredcitable
78,"4 millions in a weekend, 16 #iPhone4S per second. This is madness?! no, this is @Apple !!!",positive,neutral,Q
79,.@apple you got me. I'm now invested. MacBook Pro next year. Time to get on selling more of my #android gear,positive,negative,unpredcitable
80,@iancollinsuk @apple I like what you did there...!,positive,neutral,unpredcitable
81,I just sent my grandma a post card using my #CardsApp thanks @Apple,positive,negative,unpredcitable
82,"@KostaTsetsekas @apple Putting it in the wash is kind of the equivalent to ""Will it blend?"" Glad to hear it's still alive.",positive,positive,Q
83,Laundering Ari's iPhone not my finest moment. But after drying in bag of (organic :-) rice for 4 days it booted up!!!!!!!!!!! @apple,positive,negative,unpredcitable
84,"Bravo, @Apple! http://t.co/BgoTzj7K",positive,neutral,unpredcitable
85,"God Bless @YouTube, @apple for  #appletv & our bad ass system. LOVING #PrincessOfChina. GB to @coldplay & @rihanna too :)",positive,negative,unpredcitable
86,Been off twitter for a few days as I smashed my iPhone but @apple were very nice and gave me a new one :),positive,negative,unpredcitable
87,Thank you @Apple iOS 5 for email pop up on the lock screen and opening it when unlocking.,positive,neutral,unpredcitable
88,One word - #wow. RT @jldavid iPhone 4S First Weekend Sales Top Four Million: http://t.co/Zx5Pw0GT (via @apple),positive,positive,unpredcitable
89,This good here iPhone will do me VERY well today. Thanks to the gods that are @apple.,positive,neutral,unpredcitable
90,RT @MN2NOVA: Love ios5 Easter eggs. Pull down from middle top to bottom and see what pulls down. Awesome little feature! #ios5 @apple,positive,negative,unpredcitable
91,Love ios5 Easter eggs. Pull down from middle top to bottom and see what pulls down. Awesome little feature! #ios5 @apple,positive,negative,unpredcitable
92,Love #ios5 Easter eggs. Pull down from middle top to bottom and see what pulls down. Awesome little feature! @apple #lovemyiphone,positive,negative,unpredcitable
93,Updated my iOS and started using cloud services. Pretty bad ass @apple my #iPhone 3GS still the champ.,positive,negative,unpredcitable
94,"Gone for a run, beautiful morning , man do I love iOS 5 @apple, #iPhone",positive,positive,unpredcitable
95,@apple your simply the best.,positive,positive,unpredcitable
96,I must admit @apple has made me a very happy camper! I have text tones now! Lol! Ring tone: #MakeMeProud Drakes vers! Text tone: Nicki's,positive,,
97,"Day305, I'm thankful for the great customer service received today from @Apple via phone CS, new phone on the way #365daysofgratefulness",positive,positive,unpredcitable
98,S/O to @apple for replacing my phone for free,positive,neutral,unpredcitable
99,Loving the new iPod update @apple,positive,positive,unpredcitable
100,@alexlindsay My wife upgraded her iPhone 4. I think Siri alone is worth the upgrade. Looking forward to @Apple continuing to enhance Siri.,positive,neutral,unpredcitable
101,RT @tomkeene Thx @instagram Thx @apple #hypo #D-76 #tri-x http://t.co/BPPJwncp,positive,negative,unpredcitable
102,@SteveJobs being honored tonite @Apple...A truly great loss to the world.He will so be missed,positive,positive,unpredcitable
103,Thx @instagram Thx @apple #hypo #D-76 #tri-x http://t.co/D7EeJHBT,positive,negative,unpredcitable
104,Loving my new #iPhone4S thanks @apple for #ios5,positive,positive,unpredcitable
105,i love this. so much. thank you @apple.  http://t.co/Ui8lOEzX,positive,positive,unpredcitable
106,@apple the iPhone 4s is great #genius,positive,positive,unpredcitable
107,@apple Cards app notifies me the card I sent has arrived at local post office and should be delivered today... Sunday. Truly is #magic.,positive,negative,unpredcitable
108,Love my new I0S5 @Apple updates. Just when I think it can't get any better somehow it simplifies my life more. That's right-it's an Apple.,positive,neutral,unpredcitable
109,@apple Siri is amazing,positive,positive,unpredcitable
110,@rygurl you need an @apple iphone4S with Siri!,positive,neutral,unpredcitable
111,"Meet #Siri, your new iPhone butler. Click the link and be amazed by all it can do: http://t.co/lvfFdCEL @Apple",positive,neutral,unpredcitable
112,"just my man @apple store in @schaumburg, whoops!!!!😁",positive,negative,Q
113,"So, I am using my work PC (NEVER EVER) to get a feel for it; it has the worst speakers ever!! @apple you have spoiled me!! #imamac",positive,negative,unpredcitable
114,I ♥ @Apple http://t.co/a8on3IAa,positive,neutral,unpredcitable
115,@apple just got the new iOS5 upgrade with iMessage...good luck surviving now @BlackBerry,positive,positive,unpredcitable
116,Loving #iOS5 !! #awesome @Apple,positive,neutral,unpredcitable
117,"RT @MattyRiesz: @kathrynyee You were right, an iPhone is a must have. #addicted {WELCOME TO THE @APPLE CLUB}",positive,positive,unpredcitable
118,Thank you @apple for your innovations. Exhibit A: Guy playing with Facetime instead of watching game at sports bar. http://t.co/oU7K39ge,positive,positive,unpredcitable
119,@blackberry boo hiss!............@apple wuhu!!!!!!!! When will my berry powered technology actually work??,positive,neutral,Q
120,@apple by far the best iPod and first time iPhone ever.... Good job guys,positive,positive,unpredcitable
121,Thank you Steve @apple store 5th av. http://t.co/nSAisriP,positive,neutral,unpredcitable
122,@Apple's Siri is witchcraft.  What's next @googleresearch. 2 yr lead lost?,positive,negative,Q
123,"@Apple iOS 5 is sweet! Notifications, phone search covers mail now, wifi sync, iCloud backup and integrated Twitter are all well done.",positive,positive,unpredcitable
124,RT @katebetts: Another great James Stewart story in today's NY Times about importance of architecture in @apple retail success http://t. ...,positive,positive,unpredcitable
125,Another great James Stewart story in today's NY Times about importance of architecture in @apple retail success http://t.co/Kniz452s,positive,positive,unpredcitable
126,I &lt;3 @apple http://t.co/ondXWpEr,positive,neutral,unpredcitable
127,Welcome to the twitter world @MarkStuver. This is due to #iOS5 and @apple thanks guys.,positive,positive,unpredcitable
128,Impressive service @apple genius bar metro centre. Power cable replaced free n booked in for screen replacement for free :- D,positive,positive,unpredcitable
129,RT @deb_lavoy: the nice guy at the @apple store replaced my phone gratis when I showed him the hairline  crack on the screen. thanks @apple,positive,negative,unpredcitable
130,the nice guy at the @apple store replaced my phone gratis when I showed him the hairline  crack on the screen. thanks @apple,positive,negative,unpredcitable
131,"My iPhone 4S battery lasted longer than a day. That hasn't happened since my edge iPhone. Nice job, @apple.",positive,positive,unpredcitable
132,It would have taken me 15 mins to write this with my #Blackberry. Thank u @Apple 4s for converting me and showing me the grass is greener!,positive,negative,unpredcitable
133,RT @herahussain: @RickySinghPT got a new backside for my eye phone! V impressed with @apple,positive,positive,unpredcitable
134,@RickySinghPT got a new backside for my eye phone! V impressed with @apple,positive,positive,unpredcitable
135,#iPhone 4S in Space http://t.co/jINNHVwz this is amazing #creative @apple your products inspire people to do unbelievable things,positive,positive,unpredcitable
136,Thank you @apple for making my iPad 2 feel like new again with your new iOS 5!,positive,positive,unpredcitable
137,"_ibertaddigital.tv/ iPad a briliant SteveJobs produck ,http://t.co/00ohfLY6
@Apple present... http://t.co/DBbWSDpx",positive,negative,unpredcitable
138,Using my awsome iPad... I love it. I love my MacBook too and my iPod. It's all amazing! I love @apple,positive,positive,unpredcitable
139,@apple iOS 5 upgrade done ...... Much better feature..... Few more feature required,positive,negative,unpredcitable
140,New iOS 5 update is THE BEST. iloveyou @apple,positive,positive,unpredcitable
141,"Finally got my iPhone 4S, thanks @Apple. Stupid @att. Learned my lesson.",positive,negative,unpredcitable
142,"I absolutely love my iPhone 4S. Thank you, Steve and @apple.",positive,positive,unpredcitable
143,@apple - you have invented a product that actually gets my brother to call my parents when he gets where he's going. Amazing. #siri #ipod4s,positive,positive,unpredcitable
144,"dammit, listening to siri is making me want to upgrade. well played @apple.",positive,neutral,unpredcitable
145,"Create new folders from within your photo album in #iOS5, finally!! Thanks @Apple, that's been a thorn in my side for a while. #newfeature",positive,positive,unpredcitable
146,Video card on @Kimaris workstation died after just six months. So long @hp. Hello @apple.,positive,negative,unpredcitable
147,@Blackberry & @Facebook U R really about to make me throw this @Blackberry in the trash an get an @Apple iPhone! @Facebook upload issues!,positive,negative,unpredcitable
148,#iOS5 update submitted to @apple! Thanks for all the support!,positive,neutral,unpredcitable
149,Awesome service from the @apple store in pc. Thanks chris!,positive,positive,unpredcitable
150,RT @To1ne: .@apple thanks for fixing this... http://t.co/wTj1ogDO,positive,positive,unpredcitable
151,I am crazy about #iOS5 . The photo cropping is the best! @apple,positive,neutral,unpredcitable
152,.@apple thanks for fixing this... http://t.co/wTj1ogDO,positive,positive,unpredcitable
153,Hell yes!!! Got my contacts back!!  Thanks @apple,positive,negative,unpredcitable
154,RT @SawyerHartman: I FU*KING LOVE YOU @APPLE this phone is the best thing ever !! SIRI = BEST THING EVER MADE,positive,positive,unpredcitable
155,@apple has changed life.,positive,neutral,unpredcitable
156,Mad props to the @apple employee that didn't charge me to replace the back plate on my iPhone! Made my day!,positive,negative,unpredcitable
157,"@jonsibley Actually, the @Apple  mouse is pretty sweet man.",positive,positive,unpredcitable
158,The #iphone4s is  amazing. Siri's voice recognition is absolutely a step above previous attempts. Bravo @apple,positive,positive,unpredcitable
159,Finally got the @apple IPhone thanks to @sprint getting with the times,positive,positive,unpredcitable
160,#iOs5 is nice and as it had to be ! Thanks @Apple,positive,positive,unpredcitable
161,Good support fm Kevin @apple #Bellevue store 4 biz customers TY!,positive,positive,unpredcitable
162,Just downloaded IOS 5. It's better than I expected! #thankyou @apple,positive,negative,unpredcitable
163,@Apple: Siri is amazing!!! I'm in love!,positive,positive,unpredcitable
164,Love love love iOS 5!! @apple,positive,neutral,unpredcitable
165,RT @cjwallace03: So apparently @apple put MB cap on your SMS with the new update. 25mb storage before it tells you your inbox is full. W ...,negative,negative,unpredcitable
166,"RT @Jewelz2611 @mashable @apple, iphones r 2 expensive. Most went w/ htc/galaxy. No customer loyalty w/phone comp..",negative,negative,unpredcitable
167,"@mashable @apple, iphones r 2 expensive. Most went w/ htc/galaxy. No customer loyalty w/phone comp..",negative,negative,unpredcitable
168,THiS IS WHAT WiLL KiLL APPLE http://t.co/72Jw4z5c RiP @APPLE,negative,neutral,unpredcitable
169,@apple why my tunes no go on my iPhone? iPhone lonely without them. silly #iOS5,negative,unpredcitable,Q
170,@apple needs to hurry up and release #iTunesMatch,negative,negative,unpredcitable
171,Why is  #Siri always down @apple,negative,neutral,Q
172,I just need to exchange a cord at the apple store why do I have to wait for a genius? @apple,negative,,
173,"@apple AirDrop #fail - Immediate ""declined your request."" every time",negative,neutral,unpredcitable
174,good article about why @apple fucked it all up with lion and their future. http://t.co/zNDP9Vr6 #fb,negative,positive,unpredcitable
175,RT @radlerc: Yellowgate? Some iPhone 4S Users Complain of Yellow Tint to Screen http://t.co/uaqrxTNk @apple @iphone4s,negative,neutral,Q
176,Yellowgate? Some iPhone 4S Users Complain of Yellow Tint to Screen http://t.co/uaqrxTNk @apple @iphone4s,negative,neutral,Q
177,The one #iphone feature still missing since @apple first showed it.. Contacts pictures on the contacts list! Simple yet 5 major updates miss,negative,negative,unpredcitable
178,Asked siri is she dreams of electric sleep. Was disappointed that she didn't have a snippy answer.  Missed opportunity @apple,negative,negative,unpredcitable
179,"@paulens It surprises me that @Apple throws up an error alert about authorizing, and there's no ""Authorize this computer"" button.",negative,negative,unpredcitable
180,@Lisa_Marie1987 shhhh. the evil sith lords @apple may hear you ha!,negative,neutral,unpredcitable
181,FUCK YOU @apple DIE IN A FUCKING BLAZE INFERNO.,negative,negative,unpredcitable
182,"Oh, @apple. Steve obviously had nothing to do with iPhoto, as it's the perfect opposite of 'insanely great'. Get it fixed, please.",negative,,
183,OMG @apple WHY THE FUCK DID YOU DELETE ALL MY MUSIC YOU DICKS,negative,negative,unpredcitable
184,@ryanbaldwin @apple So in iTunes I go Store -&gt; Authorise… why doesn't it just auto-authorise it when I sign into iTunes? Grrrr...,negative,unpredcitable,Q
185,"Seriously - I have absolutely no offing clue what @Apple means by ""authorization"", nor how to do it.",negative,negative,unpredcitable
186,"Boy, could @apple make it any harder to put my purchased music from the cloud on to my new macbook pro? ""You must authorize this computer…""",negative,neutral,Q
187,"shit, shit, shit. IOS5 update ate all my apps, data and media just like @apple said it would. This is going to take some time to rebuild.",negative,negative,unpredcitable
188,. @apple & @AT&T u cannot tell me there isn't at least 1 64GB iPhone 4S in LA or Vegas!! Give me a fucking break!!!!,negative,negative,unpredcitable
189,Love @apple downloads. 4 hours and i-pad now wonky! #ripstevejobs #thenonsensepersists #neednewipadguide #fatfuckingchance,negative,positive,unpredcitable
190,Dear @apple My new Air is now a notbook since your update killed #wifi #bug #destroying #productivity,negative,positive,unpredcitable
191,"I am so done with @Att and @apple 's profitering and lack of customer service, so fucking down with both!!!",negative,negative,unpredcitable
192,It would be great If @Apple would send my new phone. #frustrated,negative,neutral,unpredcitable
193,@apple thank you for ruining my 3GS with #iOS5. You've just turned my phone into an utterly useless pile of shit.,negative,negative,unpredcitable
194,"@rogerweir no but I have the option of a  replacement iPhone 4s ?
Not sure if I want one after having 2 duff iPhones.
@O2 @iphone4s @apple",negative,negative,unpredcitable
195,So apparently @apple put MB cap on your SMS with the new update. 25mb storage before it tells you your inbox is full. What is this 2001?,negative,negative,Q
196,"You know @apple It's been almost a week since I paid for iTunes Match, I would really like to use it. Any ETA on a fix?",negative,negative,Q
197,removing all @apple shit.,negative,neutral,unpredcitable
198,So @PhoenixSwinger 's iPhone 4 is giving her a hella hard time w/ the iOS5 update @apple,negative,neutral,unpredcitable
199,What??? I that sucks hello @apple RT @PhoneDog_Aaron Interesting note - DROID RAZR's battery isn't removable.,negative,neutral,Q
200,@Apple can't send me an iPhone preordered 1hr after launching but they cans send 5 or 10 to all the jackasses who want to shoot or blend 'em,negative,negative,unpredcitable
201,Gotta say the @Apple itouch iphone shuffle etc.. sound quality is AWFUL.. painfully crap. Its been a downgrade from @Sony sound quality wise,negative,negative,unpredcitable
202,"@bisquiat @Apple the upgrade just slows down my phone so much, it's stuck half the time. uch. thankfully no other damage. sucks for you :(",negative,negative,unpredcitable
203,@Mayati I think @Apple didn't do such a thorough job with the step x steps for upgrade and move to iCloud. Now it's cost me mightily.,negative,,
204,Hey @apple now I have iOS5 my iPhone doesn't include songs that are on compilation albums under the artist's name. #whaddupwitdat,negative,negative,unpredcitable
205,@NickTheFNicon He can send but not rcve txts so he has an apt @apple at 4pm.Then he exclaims: And I waited a whole YEAR for this phone!!LMAO,negative,negative,unpredcitable
206,Total chaos at @apple store regent street. Like an Ethiopian feeding station. Can't believe this is same co. that makes all that cool shit.,negative,negative,unpredcitable
207,"@FishMama: If you made a purchase, just wait for the @apple survey! hate going b/c of the bad #custserv",negative,negative,Q
208,Correction: @ Best Buy kudos to Chris @ Alamo Ranch S.A. TX-fixed issues couldn't resolve after 1/2 day w/ @ATT & @Apple. Hero of my day!,negative,negative,unpredcitable
209,"@phxguy88 @Apple @BGR That's why all the ppl who stand in line for hrs to get the ""newest"" model are suckers...",negative,negative,unpredcitable
210,Would it kill @apple to put a braille type bump on their earbuds so we know which bud is R and L in the dark.,negative,negative,unpredcitable
211,@APPLE Wow @MOTOROLA Just crushed your dreams....,negative,positive,unpredcitable
212,"RT @phxguy88: Oh, just fuck you, @apple. Already?? ---&gt;  iPhone 5 on schedule for summer launch? http://t.co/Ofh9PTaG via @BGR",negative,neutral,Q
213,"Oh, just fuck you, @apple. Already?? ---&gt;  iPhone 5 on schedule for summer launch? http://t.co/Ofh9PTaG via @BGR",negative,neutral,Q
214,"@apple, 
No, I won't wait until thursday for an available appointment just so a 'genius' can tell me I'm shit out of luck. #now",negative,negative,unpredcitable
215,WTF?!?! @apple the new iOS 5 doesn't allow you NOT to get push notifications from newstand? and SIRI just keeps yapping FUCK!,negative,neutral,Q
216,"@Apple, on the #iPad with #iOS5, why has the Messages Icon been included when it can't be used?",negative,negative,Q
217,@Steelo254 yea! I pre-order through @apple and they sorry too just like #AT&T,negative,negative,unpredcitable
218,Interesting... @apple now requires you to have a reservation ?         #apple #iphone #4S    :  http://t.co/zZK4fTii,negative,positive,unpredcitable
219,@apple why is my iPhone battery so crappy #fail,negative,negative,Q
220,My @Apple @macbook keyboard will not type :(,negative,neutral,unpredcitable
221,"Why doesn't @apple iCloud sync Stickies? They've always been around, just nothing every progressed w/ them!! Why apple why?  @gruber",negative,negative,Q
222,"@apple, your new ""Save a Version"" function in Pages is absolutely the most awful, interrupting, counter-intuitive piece of crap in the world",negative,negative,unpredcitable
223,I hate my @apple computer.  Thats 3500 dollars down the drain.,negative,negative,unpredcitable
224,@apple my iPhone is charging very slowly!!!!!,negative,negative,unpredcitable
225,"@Apple #iOS5 gm on ipad1 is very slow wash better on beta7/8 solve this problem, or give me the ipad2",negative,negative,unpredcitable
226,"@apple Wish I could pick month, day, and YEAR when setting a new calendar item on my iPhone. Why hasn't the new iOS fixed this yet?!",negative,negative,Q
227,"@Apple iTunes is the worst program ever. For such a great phone, you make some awful software.",negative,negative,unpredcitable
228,One would think the voice recognition on the @apple tech support line would work a little better.,negative,neutral,unpredcitable
229,"@apple $319 to repair my iPad 2, Apple you've lost me and my $700 a year, Android here I come!",negative,negative,unpredcitable
230,"@azee1v1 @apple @umber Proper consolidation, proper syncing, stop losing my PURCHASED items, checkboxes that do what you think they will do.",negative,negative,unpredcitable
231,@AsimRang @apple @umber the desktop app is wack though,negative,negative,unpredcitable
232,I made a reservation and yet I still have to wait in line. Humpt! Oh @apple (@ Apple Store w/ 2 others) http://t.co/JZmVBdNm,negative,,
233,Frustrated that I bought a new macbook pro from @apple only to find it doesnt ship with media! #expensivepaperweight,negative,neutral,unpredcitable
234,Dear @apple. I had to turn off all those awesome featured you just enabled. Data plan can't handle it. 200 mb of data just because #,negative,negative,unpredcitable
235,#DontBeMadAtMeBecause #Android is by far better than @Apple,negative,neutral,unpredcitable
236,@apple is there a problem with iOS 5 that is preventing audio apps and audio functions from operating properly? I keep losing sound.,negative,unpredcitable,Q
237,@apple #apple One thing I hater about this #mouse the #buttery finish so fast am not #happy now #macworld @macworld http://t.co/5Uh4a4Vt,negative,negative,unpredcitable
238,Hey @Apple: stop sending your automatically-depreciate-all-iPhones-older-than-the-4s signal. My #iPhone4 is dying rapidly processor-wise.,negative,negative,unpredcitable
239,Only thing bad about the new @canon camera is that it has two compact flash cards... not one of SD. SD goes in my @apple computer. Damn you!,negative,neutral,unpredcitable
240,Wtf @apple 64 pages for the new terms & conditions when u update ur apps from the iTunes store. Do u really think we'll read em? Really???,negative,neutral,Q
241,fuck u @apple,negative,neutral,unpredcitable
242,oh and prolly ganna be late to work bc @apple has screwed me and my phone has my only alarm on it,negative,,
243,why the fuck dose my phone decide its just ganna freeze every time i try to update it so fucking sick of @apple,negative,negative,Q
244,. if u need me just text me o wait u i wont get it cuz @apple fucks me every time #fuckingpissed,negative,negative,Q
245,"iMessage doesn't show the time a message was sent, annoying @apple",negative,negative,unpredcitable
246,Like @apple da fuck is this shit?  http://t.co/nb4DHlSg,negative,negative,Q
247,RT @CircusTK: I'm wit chu!! “@ShayDiddy: Officially boycotting @ups!!! Calling @apple to curse them out next for using them wasting my t ...,negative,,
248,Damn it @Apple!! Whatchu done to my phone??,negative,unpredcitable,Q
249,"Samsung seeks iPhone 4S ban in Japan and Australia
Patent war intensifies with injunction sought against @Apple http://t.co/QmwjTvnk",negative,negative,unpredcitable
250,"@apple, why is it every time there is iOS software update my iPad goes dead and I need to totally restore? #fail",negative,negative,Q
251,@apple #iOS.5 has been nothing but a pain in the ass no room for my music.. Or photos.. Or apps! Can I undo this garbage??,negative,unpredcitable,Q
